tripID,timeStamp,longitude,latitude
12,23-12-2017 17:45:20,12.90625,43.33345
12,23-12-2017 17:45:21,12.905466,43.3331
12,23-12-2017 17:45:22,12.904366,43.332566
12,23-12-2017 17:45:23,12.903516,43.332166
12,23-12-2017 17:45:24,12.902583,43.33175
12,23-12-2017 17:45:25,12.901483,43.331233
12,23-12-2017 17:45:26,12.900733,43.3309
12,23-12-2017 17:45:30,12.89995,43.330533
12,23-12-2017 17:45:31,12.898666,43.329866
12,23-12-2017 17:45:32,12.897766,43.32885
12,23-12-2017 17:45:33,12.8973,43.3283
12,23-12-2017 17:45:34,12.8968,43.327766
12,23-12-2017 17:45:37,12.895633,43.326766
12,23-12-2017 17:45:38,12.895033,43.3262
12,23-12-2017 17:45:39,12.8944,43.325616
12,23-12-2017 17:45:40,12.893766,43.32505
12,23-12-2017 17:45:41,12.893116,43.32445
12,23-12-2017 17:45:44,12.8925,43.323866
12,23-12-2017 17:46:07,12.891916,43.323316
12,23-12-2017 17:46:08,12.891366,43.322816
12,23-12-2017 17:46:09,12.890066,43.3223
12,23-12-2017 17:46:10,12.888333,43.321716
12,23-12-2017 17:46:11,12.887316,43.32135
12,23-12-2017 17:46:12,12.88625,43.321066
12,23-12-2017 17:46:13,12.885216,43.32075
12,23-12-2017 17:46:14,12.884233,43.320416
12,23-12-2017 17:46:15,12.883266,43.320083
12,23-12-2017 17:46:16,12.882316,43.319783
12,23-12-2017 17:46:17,12.881333,43.319533
12,23-12-2017 17:46:18,12.880216,43.3193
12,23-12-2017 17:46:22,12.879366,43.318883
12,23-12-2017 17:46:23,12.87775,43.318283
12,23-12-2017 17:46:24,12.876616,43.318083
12,23-12-2017 17:46:25,12.875583,43.318016
12,23-12-2017 17:46:26,12.87445,43.318016
12,23-12-2017 17:46:27,12.87335,43.317833
12,23-12-2017 17:46:28,12.872433,43.317533
12,23-12-2017 17:46:29,12.870633,43.317733
12,23-12-2017 17:46:30,12.869633,43.317766
12,23-12-2017 17:46:31,12.8687,43.31795
12,23-12-2017 17:46:32,12.867733,43.317816
12,23-12-2017 17:46:33,12.866633,43.317716
12,23-12-2017 17:46:34,12.8656,43.317383
12,23-12-2017 17:46:35,12.864633,43.31695
12,23-12-2017 17:46:36,12.863783,43.31655
12,23-12-2017 17:46:37,12.863433,43.31595
12,23-12-2017 17:46:38,12.863566,43.31515
12,23-12-2017 17:46:39,12.863483,43.314466
12,23-12-2017 17:46:40,12.8628,43.31405
12,23-12-2017 17:46:41,12.8619,43.313883
12,23-12-2017 17:46:42,12.861016,43.313566
12,23-12-2017 17:46:43,12.860266,43.31315
12,23-12-2017 17:46:44,12.859166,43.312316
12,23-12-2017 17:46:45,12.858583,43.311766
12,23-12-2017 17:46:46,12.857916,43.3112
12,23-12-2017 17:46:47,12.85735,43.310633
12,23-12-2017 17:46:48,12.856583,43.3103
12,23-12-2017 17:46:49,12.8557,43.31025
12,23-12-2017 17:46:50,12.854766,43.310066
12,23-12-2017 17:46:51,12.853616,43.30985
12,23-12-2017 17:46:52,12.852366,43.3096
12,23-12-2017 17:46:53,12.851183,43.309366
12,23-12-2017 17:46:54,12.85,43.3091
12,23-12-2017 17:46:55,12.848966,43.30875
12,23-12-2017 17:46:56,12.848033,43.308316
12,23-12-2017 17:46:57,12.847116,43.307733
12,23-12-2017 17:46:58,12.846216,43.3072
12,23-12-2017 17:46:59,12.84535,43.306683
12,23-12-2017 17:47:00,12.844516,43.306083
12,23-12-2017 17:47:01,12.843666,43.305466
12,23-12-2017 17:47:02,12.842966,43.304766
12,23-12-2017 17:47:03,12.842616,43.30405
12,23-12-2017 17:47:04,12.842233,43.303416
12,23-12-2017 17:47:05,12.841316,43.3027
12,23-12-2017 17:47:06,12.840533,43.301816
12,23-12-2017 17:47:07,12.84045,43.300583
12,23-12-2017 17:47:08,12.84025,43.299883
12,23-12-2017 17:47:09,12.839966,43.2986
12,23-12-2017 17:47:10,12.8397,43.297833
12,23-12-2017 17:47:11,12.8395,43.297083
12,23-12-2017 17:47:12,12.8396,43.2963
12,23-12-2017 17:47:13,12.839733,43.29545
12,23-12-2017 17:47:14,12.839866,43.294566
12,23-12-2017 17:47:15,12.839983,43.293716
12,23-12-2017 17:47:16,12.840166,43.292866
12,23-12-2017 17:47:17,12.840083,43.29205
12,23-12-2017 17:47:18,12.839666,43.2912
12,23-12-2017 17:47:19,12.839216,43.290383
12,23-12-2017 17:47:20,12.83885,43.289583
12,23-12-2017 17:47:21,12.8389,43.288783
12,23-12-2017 17:47:22,12.839183,43.288
12,23-12-2017 17:47:23,12.8397,43.2872
12,23-12-2017 17:47:24,12.84025,43.28635
12,23-12-2017 17:47:25,12.840833,43.285483
12,23-12-2017 17:47:26,12.84155,43.284816
12,23-12-2017 17:47:27,12.842666,43.284566
12,23-12-2017 17:47:28,12.843833,43.284416
12,23-12-2017 17:47:29,12.844833,43.284066
12,23-12-2017 17:47:30,12.84545,43.283466
12,23-12-2017 17:47:31,12.845583,43.282633
12,23-12-2017 17:47:32,12.845683,43.281766
12,23-12-2017 17:47:33,12.84595,43.280883
12,23-12-2017 17:47:34,12.846183,43.27995
12,23-12-2017 17:47:35,12.84625,43.279116
12,23-12-2017 17:47:36,12.846766,43.278516
12,23-12-2017 17:47:37,12.84725,43.277766
12,23-12-2017 17:47:38,12.8476,43.276933
12,23-12-2017 17:47:39,12.847866,43.276083
12,23-12-2017 17:47:40,12.8481,43.2753
12,23-12-2017 17:47:41,12.8486,43.274616
12,23-12-2017 17:47:42,12.849016,43.273783
12,23-12-2017 17:47:43,12.849416,43.272933
12,23-12-2017 17:47:44,12.849816,43.272133
12,23-12-2017 17:47:45,12.850083,43.271283
12,23-12-2017 17:47:46,12.850066,43.270383
12,23-12-2017 17:47:47,12.850016,43.269466
12,23-12-2017 17:47:48,12.85,43.26855
12,23-12-2017 17:47:49,12.849916,43.267683
12,23-12-2017 17:47:50,12.84985,43.2669
12,23-12-2017 17:47:51,12.8497,43.265716
12,23-12-2017 17:47:52,12.849566,43.26475
12,23-12-2017 17:47:53,12.850033,43.263833
12,23-12-2017 17:47:54,12.85145,43.263666
12,23-12-2017 17:47:55,12.85275,43.26285
12,23-12-2017 17:47:56,12.853183,43.262166
12,23-12-2017 17:47:57,12.853616,43.261416
12,23-12-2017 17:47:58,12.854166,43.2606
